product_name,price,unit,in_stock
Aashirvaad Shudh Chakki Atta,230,5 kg,True
Aashirvaad Shudh Chakki Atta,445,10 kg,True
Fortune Chakki Fresh Atta,208,5 kg,True
Fortune Chakki Fresh Atta,400,10 kg,True
Pillsbury Chakki Fresh Atta,220,5 kg,True
Pillsbury Chakki Fresh Atta,415,10 kg,False
Rajdhani Chakki Fresh Atta,42,1 kg,True
Vikram Mills Fresh Chakki Atta,190,5 kg,True
Vikram Mills Fresh Chakki Atta,380,10 kg,True
Nature Fresh Sampoorna Chakki Atta,195,5 kg,True
Nature Fresh Sampoorna Chakki Atta,385,10 kg,True
Patanjali Whole Wheat Atta,215,5 kg,True
Patanjali Whole Wheat Atta,420,10 kg,True
Aashirvaad Select Sharbati Atta,295,5 kg,True
Aashirvaad Multigrains Atta,320,5 kg,True
Fortune Sunlite Refined Sunflower Oil,175,1 L,True
Fortune Kachi Ghani Mustard Oil,185,1 L,True
Fortune Soyabean Refined Oil,170,1 L,True
Saffola Gold Blended Oil,210,1 L,True
Dhara Mustard Oil,180,1 L,True
Rajdhani Poha,60,1 kg,True
Rajdhani Sooji,55,1 kg,True
Rajdhani Besan,95,1 kg,True
Fortune Besan,98,1 kg,True
Patanjali Besan,92,1 kg,True
Rajdhani Maida,48,1 kg,True
Tata Salt,28,1 kg,True
Aashirvaad Iodized Salt,30,1 kg,True
India Gate Classic Basmati Rice,185,1 kg,True
India Gate Rozana Basmati Rice,130,1 kg,True
Daawat Rozana Super Basmati Rice,125,1 kg,True
Fortune Everyday Basmati Rice,120,1 kg,True
Rajdhani Rice,95,1 kg,True
Tata Tea Premium,270,1 kg,True
Red Label Tea,260,1 kg,True
Brooke Bond Taaza Tea,240,1 kg,True
Nescafé Classic Coffee,310,100 g,True
Bru Instant Coffee,285,100 g,True
Amul Butter,58,100 g,True
Amul Ghee,610,1 L,True
Patanjali Cow Ghee,560,1 L,True
Mother Dairy Ghee,575,1 L,True
Nestlé Everyday Dairy Whitener,215,400 g,True
Amul Taaza Toned Milk,28,500 ml,True
Amul Gold Full Cream Milk,34,500 ml,True
Madhur Pure & Hygienic Sugar,52,1 kg,True
Tata Sampann Toor Dal,170,1 kg,True
Tata Sampann Moong Dal,155,1 kg,True
Fortune Chana Dal,145,1 kg,True
Rajdhani Masoor Dal,130,1 kg,True
Catch Red Chilli Powder,105,200 g,True
Catch Turmeric Powder,95,200 g,True
Everest Garam Masala,78,100 g,True
MDH Kitchen King Masala,90,100 g,True
Maggi 2-Minute Noodles,14,70 g,True
Kissan Mixed Fruit Jam,165,500 g,True
Horlicks Classic Malt,340,500 g,True
Bournvita Chocolate Health Drink,360,500 g,True
Colgate Strong Teeth Toothpaste,145,200 g,True
Surf Excel Easy Wash Detergent Powder,235,4 kg,True
Ariel Matic Front Load Detergent Powder,245,2 kg,True
Rin Detergent Bar,30,250 g,True
